2026-08-26 17:22:31,849 | WARNING | order_id=O00552 | customer_id=nan | product_id=P0035 | reject_reason=Missing customer_id
2026-08-26 17:22:31,849 | WARNING | order_id=O00483 | customer_id=nan | product_id=P0036 | reject_reason=Missing customer_id
2026-08-26 17:22:31,849 | WARNING | order_id=O00394 | customer_id=nan | product_id=P0050 | reject_reason=Missing customer_id
2026-08-26 17:22:31,849 | WARNING | order_id=O00133 | customer_id=nan | product_id=P0023 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00060 | customer_id=nan | product_id=P0024 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00397 | customer_id=nan | product_id=P0051 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00640 | customer_id=nan | product_id=P0008 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00755 | customer_id=nan | product_id=P0049 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00664 | customer_id=nan | product_id=P0057 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00780 | customer_id=nan | product_id=P0052 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00513 | customer_id=nan | product_id=P0004 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00197 | customer_id=nan | product_id=P0007 | reject_reason=Missing customer_id
2026-08-26 17:22:31,850 | WARNING | order_id=O00453 | customer_id=nan | product_id=P0050 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00459 | customer_id=nan | product_id=P0044 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00341 | customer_id=nan | product_id=P0042 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00512 | customer_id=nan | product_id=P0002 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00587 | customer_id=nan | product_id=P0054 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00895 | customer_id=nan | product_id=P0029 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00442 | customer_id=nan | product_id=P0025 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00365 | customer_id=nan | product_id=P0008 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00001 | customer_id=nan | product_id=P0019 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00493 | customer_id=nan | product_id=P0032 | reject_reason=Missing customer_id
2026-08-26 17:22:31,851 | WARNING | order_id=O00561 | customer_id=nan | product_id=P0017 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00521 | customer_id=nan | product_id=P0012 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00105 | customer_id=nan | product_id=P0007 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00651 | customer_id=nan | product_id=P0002 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00187 | customer_id=nan | product_id=P0049 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00363 | customer_id=nan | product_id=P0012 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00688 | customer_id=nan | product_id=P0048 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00249 | customer_id=nan | product_id=P0006 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00247 | customer_id=nan | product_id=P0042 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00108 | customer_id=nan | product_id=P0003 | reject_reason=Missing customer_id
2026-08-26 17:22:31,852 | WARNING | order_id=O00751 | customer_id=nan | product_id=P0014 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00547 | customer_id=nan | product_id=P0021 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00285 | customer_id=nan | product_id=P0027 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00075 | customer_id=nan | product_id=P0059 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00807 | customer_id=nan | product_id=P0003 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00722 | customer_id=nan | product_id=P0015 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00393 | customer_id=nan | product_id=P0006 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00782 | customer_id=nan | product_id=P0032 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00865 | customer_id=nan | product_id=P0055 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00525 | customer_id=nan | product_id=P0033 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00031 | customer_id=nan | product_id=P0003 | reject_reason=Missing customer_id
2026-08-26 17:22:31,853 | WARNING | order_id=O00834 | customer_id=nan | product_id=P0013 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00776 | customer_id=nan | product_id=P0039 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00830 | customer_id=nan | product_id=P0010 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00836 | customer_id=nan | product_id=P0004 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00388 | customer_id=nan | product_id=P0024 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00549 | customer_id=nan | product_id=P0048 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00237 | customer_id=nan | product_id=P0004 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00893 | customer_id=nan | product_id=P0051 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00859 | customer_id=nan | product_id=P0010 | reject_reason=Missing customer_id
2026-08-26 17:22:31,854 | WARNING | order_id=O00384 | customer_id=nan | product_id=P0023 | reject_reason=Missing customer_id
2026-08-26 17:22:31,856 | WARNING | order_id=O00564 | customer_id=C0013 | product_id=P0023 | reject_reason=Invalid quantity
2026-08-26 17:22:31,856 | WARNING | order_id=O00093 | customer_id=C0026 | product_id=P0016 | reject_reason=Invalid quantity
2026-08-26 17:22:31,856 | WARNING | order_id=O00501 | customer_id=C0002 | product_id=P0054 | reject_reason=Invalid quantity
2026-08-26 17:22:31,856 | WARNING | order_id=O00329 | customer_id=C0112 | product_id=P0008 | reject_reason=Invalid quantity
2026-08-26 17:22:31,856 | WARNING | order_id=O00369 | customer_id=C0087 | product_id=P0032 | reject_reason=Invalid quantity
2026-08-26 17:22:31,857 | WARNING | order_id=O00047 | customer_id=C0119 | product_id=P0045 | reject_reason=Invalid quantity
2026-08-26 17:22:31,857 | WARNING | order_id=O00324 | customer_id=C0083 | product_id=P0005 | reject_reason=Invalid quantity
2026-08-26 17:22:31,857 | WARNING | order_id=O00684 | customer_id=C0060 | product_id=P0005 | reject_reason=Invalid quantity
2026-08-26 17:22:31,857 | WARNING | order_id=O00037 | customer_id=C0015 | product_id=P0002 | reject_reason=Invalid quantity
